Record_ID,Record_Type,Detection_Method,Anomaly_Category,Affected_Columns,Observed_Value,Expected_Condition,Severity,Explanation,Rule_ID,Source_Dataset,Detection_Timestamp
MC103539,MEDICAL_CLAIM,Rule-Based,Invalid Financial Value,Billed_Amount,Billed_Amount = -11306.05,Billed_Amount >= 0,HIGH,"Billed amount ($-11306.05) is negative. Under financial semantics, billed amounts must be non-negative.",R_FIN_001,medical_claim_cleaned.csv,2026-08-15T02:04:36.202509
MC100238,MEDICAL_CLAIM,Rule-Based,Invalid Financial Value,Billed_Amount,Billed_Amount = -1138.04,Billed_Amount >= 0,HIGH,"Billed amount ($-1138.04) is negative. Under financial semantics, billed amounts must be non-negative.",R_FIN_001,medical_claim_cleaned.csv,2026-08-15T02:04:36.202509
MC103105,MEDICAL_CLAIM,Rule-Based,Invalid Financial Value,Billed_Amount,Billed_Amount = -760.19,Billed_Amount >= 0,HIGH,"Billed amount ($-760.19) is negative. Under financial semantics, billed amounts must be non-negative.",R_FIN_001,medical_claim_cleaned.csv,2026-08-15T02:04:36.202509
MC104012,MEDICAL_CLAIM,Rule-Based,Invalid Financial Value,Billed_Amount,Billed_Amount = -1264.49,Billed_Amount >= 0,HIGH,"Billed amount ($-1264.49) is negative. Under financial semantics, billed amounts must be non-negative.",R_FIN_001,medical_claim_cleaned.csv,2026-08-15T02:04:36.202509
MC104666,MEDICAL_CLAIM,Rule-Based,Invalid Financial Value,Billed_Amount,Billed_Amount = -932.56,Billed_Amount >= 0,HIGH,"Billed amount ($-932.56) is negative. Under financial semantics, billed amounts must be non-negative.",R_FIN_001,medical_claim_cleaned.csv,2026-08-15T02:04:36.202509
MC101845,MEDICAL_CLAIM,Rule-Based,Invalid Financial Value,Billed_Amount,Billed_Amount = -383.73,Billed_Amount >= 0,HIGH,"Billed amount ($-383.73) is negative. Under financial semantics, billed amounts must be non-negative.",R_FIN_001,medical_claim_cleaned.csv,2026-08-15T02:04:36.202509
MC102480,MEDICAL_CLAIM,Rule-Based,Invalid Financial Value,Billed_Amount,Billed_Amount = -860.16,Billed_Amount >= 0,HIGH,"Billed amount ($-860.16) is negative. Under financial semantics, billed amounts must be non-negative.",R_FIN_001,medical_claim_cleaned.csv,2026-08-15T02:04:36.202509
MC103218,MEDICAL_CLAIM,Rule-Based,Invalid Financial Value,Billed_Amount,Billed_Amount = -999.58,Billed_Amount >= 0,HIGH,"Billed amount ($-999.58) is negative. Under financial semantics, billed amounts must be non-negative.",R_FIN_001,medical_claim_cleaned.csv,2026-08-15T02:04:36.202509
MC101183,MEDICAL_CLAIM,Rule-Based,Invalid Financial Value,Billed_Amount,Billed_Amount = -1386.15,Billed_Amount >= 0,HIGH,"Billed amount ($-1386.15) is negative. Under financial semantics, billed amounts must be non-negative.",R_FIN_001,medical_claim_cleaned.csv,2026-08-15T02:04:36.202509
MC102746,MEDICAL_CLAIM,Rule-Based,Invalid Financial Value,Billed_Amount,Billed_Amount = -1293.91,Billed_Amount >= 0,HIGH,"Billed amount ($-1293.91) is negative. Under financial semantics, billed amounts must be non-negative.",R_FIN_001,medical_claim_cleaned.csv,2026-08-15T02:04:36.203509
MC101854,MEDICAL_CLAIM,Rule-Based,Invalid Financial Value,Billed_Amount,Billed_Amount = -1201.04,Billed_Amount >= 0,HIGH,"Billed amount ($-1201.04) is negative. Under financial semantics, billed amounts must be non-negative.",R_FIN_001,medical_claim_cleaned.csv,2026-08-15T02:04:36.203509
